state,yr,qtr,index_nsa,index_sa,date
AR,1997,4,129.31,129.16,10/1/1997
AR,1998,1,129.13,129.17,1/1/1998
AR,1998,2,129.74,129.25,4/1/1998
AR,1998,3,132.19,131.79,7/1/1998
AR,1998,4,132.53,132.39,10/1/1998
AR,1999,1,133.72,133.78,1/1/1999
AR,1999,2,135.13,134.63,4/1/1999
AR,1999,3,136.1,135.65,7/1/1999
AR,1999,4,136.63,136.5,10/1/1999
AR,2000,1,136.91,136.97,1/1/2000
AR,2000,2,139.66,139.2,4/1/2000
AR,2000,3,139.93,139.4,7/1/2000
AR,2000,4,140.86,140.72,10/1/2000
AR,2001,1,142.59,142.68,1/1/2001
AR,2001,2,143.63,143.18,4/1/2001
AR,2001,3,145.43,144.82,7/1/2001
AR,2001,4,145.91,145.74,10/1/2001
AR,2002,1,146.77,146.96,1/1/2002
AR,2002,2,149.69,149.22,4/1/2002
AR,2002,3,151.08,150.39,7/1/2002
AR,2002,4,152.39,152.18,10/1/2002
AR,2003,1,154.04,154.36,1/1/2003
AR,2003,2,156.8,156.25,4/1/2003
AR,2003,3,159.92,159.13,7/1/2003
AR,2003,4,160.96,160.76,10/1/2003
AR,2004,1,163.98,164.39,1/1/2004
AR,2004,2,167.47,166.86,4/1/2004
AR,2004,3,170.07,169.17,7/1/2004
AR,2004,4,172.53,172.34,10/1/2004
AR,2005,1,174.63,175.14,1/1/2005
AR,2005,2,178.01,177.28,4/1/2005
AR,2005,3,182.02,181.04,7/1/2005
AR,2005,4,185.13,185.04,10/1/2005
AR,2006,1,186.26,186.72,1/1/2006
AR,2006,2,189.99,189.18,4/1/2006
AR,2006,3,191.65,190.66,7/1/2006
AR,2006,4,192.37,192.34,10/1/2006
AR,2007,1,191.78,192.21,1/1/2007
AR,2007,2,195.22,194.26,4/1/2007
AR,2007,3,195.38,194.45,7/1/2007
AR,2007,4,193.26,193.38,10/1/2007
AR,2008,1,189.38,189.66,1/1/2008
AR,2008,2,189.27,188.29,4/1/2008
AR,2008,3,189.01,188.11,7/1/2008
AR,2008,4,184.72,185.01,10/1/2008
AR,2009,1,183.8,184.01,1/1/2009
AR,2009,2,184.35,183.27,4/1/2009
AR,2009,3,184.38,183.51,7/1/2009
AR,2009,4,187.41,187.93,10/1/2009
AR,2010,1,178,178.07,1/1/2010
AR,2010,2,183.03,181.92,4/1/2010
AR,2010,3,177.56,176.67,7/1/2010
AR,2010,4,174.75,175.43,10/1/2010
AR,2011,1,177.25,177.19,1/1/2011
AR,2011,2,174.18,173.12,4/1/2011
AR,2011,3,175.81,174.89,7/1/2011
AR,2011,4,176.98,177.84,10/1/2011
AR,2012,1,177.83,177.61,1/1/2012
AR,2012,2,182.89,181.82,4/1/2012
AR,2012,3,181.76,180.8,7/1/2012
AR,2012,4,179.95,180.91,10/1/2012
AR,2013,1,185.62,185.27,1/1/2013
AR,2013,2,185.96,184.92,4/1/2013
AR,2013,3,186.4,185.42,7/1/2013
AR,2013,4,182.77,183.79,10/1/2013
AR,2014,1,185.68,185.22,1/1/2014
AR,2014,2,187.95,187,4/1/2014
AR,2014,3,188.95,187.92,7/1/2014
AR,2014,4,190.59,191.6,10/1/2014
AR,2015,1,188.31,187.92,1/1/2015
AR,2015,2,192.76,191.84,4/1/2015
AR,2015,3,196,194.84,7/1/2015
AR,2015,4,194.15,195.12,10/1/2015
AR,2016,1,196.22,195.89,1/1/2016
AR,2016,2,198.05,197.21,4/1/2016
AR,2016,3,200.53,199.25,7/1/2016
AR,2016,4,199.02,199.82,10/1/2016
AR,2017,1,202.87,202.78,1/1/2017
AR,2017,2,204.39,203.53,4/1/2017
AR,2017,3,207.82,206.46,7/1/2017
AR,2017,4,209.73,210.36,10/1/2017
AR,2018,1,211.71,211.81,1/1/2018
AR,2018,2,213.57,212.75,4/1/2018
AR,2018,3,216.29,214.83,7/1/2018
AR,2018,4,216.96,217.36,10/1/2018
AR,2019,1,220.87,221.22,1/1/2019
AR,2019,2,223.74,222.86,4/1/2019
AR,2019,3,225.9,224.38,7/1/2019
AR,2019,4,225.19,225.44,10/1/2019
AR,2020,1,227.73,228.26,1/1/2020
AR,2020,2,234.97,234.02,4/1/2020
AR,2020,3,241.93,240.32,7/1/2020
AR,2020,4,249.83,249.94,10/1/2020
AR,2021,1,254.78,255.59,1/1/2021
AR,2021,2,270.41,269.21,4/1/2021
AR,2021,3,283.21,281.37,7/1/2021
AR,2021,4,296.58,296.57,10/1/2021
AR,2022,1,304.63,305.84,1/1/2022
AR,2022,2,317.53,316,4/1/2022
AR,2022,3,325.3,323.18,7/1/2022
AR,2022,4,325.18,325.04,10/1/2022
AR,2023,1,330.17,331.73,1/1/2023
AR,2023,2,338.62,336.87,4/1/2023
AR,2023,3,343.78,341.51,7/1/2023
AR,2023,4,346.52,346.28,10/1/2023
AR,2024,1,348.57,350.43,1/1/2024
AR,2024,2,357.15,355.2,4/1/2024
AR,2024,3,362.12,359.72,7/1/2024
AZ,1991,1,100,100,1/1/1991
AZ,1991,2,100.47,100.33,4/1/1991
AZ,1991,3,99.48,99.4,7/1/1991
AZ,1991,4,101.71,101.08,10/1/1991
AZ,1992,1,102.27,102.3,1/1/1992
AZ,1992,2,101.66,101.51,4/1/1992
AZ,1992,3,102.78,102.65,7/1/1992
AZ,1992,4,103.84,103.23,10/1/1992
AZ,1993,1,104.11,104.15,1/1/1993
AZ,1993,2,105.34,105.18,4/1/1993
AZ,1993,3,106.92,106.7,7/1/1993
AZ,1993,4,109.3,108.75,10/1/1993
AZ,1994,1,110.32,110.38,1/1/1994
AZ,1994,2,112.66,112.46,4/1/1994
AZ,1994,3,114.49,114.16,7/1/1994
AZ,1994,4,116.52,116.05,10/1/1994
AZ,1995,1,117.27,117.35,1/1/1995
